filename,status,rows,csv_path,error
CreditConfig.djb,ok,18,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CreditConfig.csv,
CreditDevelopers.djb,ok,27,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CreditDevelopers.csv,
CreditJellyData.djb,ok,43,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CreditJellyData.csv,
CustomerServiceURL.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CustomerServiceURL.csv,
DailyReward.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/DailyReward.csv,
Distribution.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Distribution.csv,
EpicComplexData.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/EpicComplexData.csv,
Episode.djb,ok,12,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Episode.csv,
EquipmentDataCookieRun.djb,ok,12986,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/EquipmentDataCookieRun.csv,
EquipmentItemSeoul.djb,ok,3271,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/EquipmentItemSeoul.csv,
EquipmentItemSinsa.djb,ok,14,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/EquipmentItemSinsa.csv,
EtcInGamePassiveTypeIdList.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/EtcInGamePassiveTypeIdList.csv,
FlexiblePopupLocalization.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/FlexiblePopupLocalization.csv,
FortuneBakingPrice.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/FortuneBakingPrice.csv,
FortuneBakingTime.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/FortuneBakingTime.csv,
Fortune_Dough_Info.djb,ok,52,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Fortune_Dough_Info.csv,
Gashapone_Step1_Rate.djb,ok,1539,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Gashapone_Step1_Rate.csv,
Gashapone_Step2_Rate.djb,ok,9506,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Gashapone_Step2_Rate.csv,
GuestOnlyMemberId.djb,ok,6,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/GuestOnlyMemberId.csv,
IceTowerQuestInfo.djb,ok,308,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/IceTowerQuestInfo.csv,
IceTowerQuestInfoList.djb,ok,308,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/IceTowerQuestInfoList.csv,
InnerSystemConfig.djb,ok,222,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/InnerSystemConfig.csv,
InviteBlackList.djb,ok,51,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/InviteBlackList.csv,
Invite_Event.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Invite_Event.csv,
JellyEtcTypeIdList.djb,ok,22,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/JellyEtcTypeIdList.csv,
JellyMagicJellyStatData.djb,ok,77,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/JellyMagicJellyStatData.csv,
JellyResourceInfo.djb,ok,16,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/JellyResourceInfo.csv,
JellyStatData.djb,ok,18,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/JellyStatData.csv,
JellyTypeSet.djb,ok,6,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/JellyTypeSet.csv,
KakaoMessageInfo.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/KakaoMessageInfo.csv,
KakaoShopMessageInfo.djb,ok,8,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/KakaoShopMessageInfo.csv,
KakaoStoryFeed.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/KakaoStoryFeed.csv,
LeagueInfo.djb,ok,530,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/LeagueInfo.csv,
LevelContents.djb,ok,110,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/LevelContents.csv,
LineMessageInfo.djb,ok,5,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/LineMessageInfo.csv,
LotteryEventNumber.djb,ok,30,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/LotteryEventNumber.csv,
LotteryEventRound.djb,ok,8,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/LotteryEventRound.csv,
MagicStatList.djb,ok,376,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MagicStatList.csv,
MagicStatListForInGamePassive.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MagicStatListForInGamePassive.csv,
MagicStatListForJelly.djb,ok,45,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MagicStatListForJelly.csv,
MagicStatListForPlatform.djb,ok,63,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MagicStatListForPlatform.csv,
MapStageAnimationData_BigChange.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageAnimationData_BigChange.csv,
MapStageScenario_Shared.djb,ok,6,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_Shared.csv,
MapStageScenario_epEV01.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epEV01.csv,
MapStageScenario_epEV02.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epEV02.csv,
MapStageScenario_epM01.djb,ok,85,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epM01.csv,
MapStageScenario_epN01.djb,ok,22,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN01.csv,
MapStageScenario_epN02.djb,ok,20,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN02.csv,
MapStageScenario_epN03.djb,ok,17,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN03.csv,
MapStageScenario_epN04.djb,ok,20,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN04.csv,
MapStageScenario_epN05.djb,ok,28,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN05.csv,
MapStageScenario_epN06.djb,ok,21,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epN06.csv,
MapStageScenario_epS01.djb,ok,14,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epS01.csv,
MapStageScenario_epS02.djb,ok,103,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epS02.csv,
MapStageScenario_epS03.djb,ok,24,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageScenario_epS03.csv,
MapStageThemeData_BigChange.djb,ok,219,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MapStageThemeData_BigChange.csv,
Material.djb,ok,216,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/Material.csv,
MaterialGrade.djb,ok,216,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MaterialGrade.csv,
MaterialGroup.djb,ok,216,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MaterialGroup.csv,
MaterialRecipe.djb,ok,20,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MaterialRecipe.csv,
MixChallengeRewardInfo_ko.djb,ok,55,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MixChallengeRewardInfo_ko.csv,
MysteryBox.djb,ok,108,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/MysteryBox.csv,
PCGrade.djb,ok,192,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PCGrade.csv,
PartyRunBannedCookies.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/PartyRunBannedCookies.csv,
